"District wise data on the number of daily infections obtained from https://www.covid19india.org/ on March 15, 2021 and sorted by decreasing number of active cases",,,,,,,
Accessibility code for the districts is as added as per our definition in the manuscript. It is noted only for districts where the active case burden is at least 500 cases.,,,,,,,
State_Code,State,District,Confirmed,Active,Recovered,Deceased,Accessibility Code
HR,Haryana,Faridabad,46770,190,46162,418,
WB,West Bengal,Howrah,36108,186,34872,1050,
CT,Chhattisgarh,Surguja,8556,185,8277,94,
DL,Delhi,Central Delhi,184,184,0,0,
TN,Tamil Nadu,Tiruppur,18652,184,18244,224,
BR,Bihar,Patna,53026,180,52401,445,
PB,Punjab,Sangrur,4837,178,4446,213,
RJ,Rajasthan,Bhilwara,10571,177,10354,40,
TN,Tamil Nadu,Thanjavur,18388,177,17955,256,
HR,Haryana,Yamunanagar,7232,168,6907,157,
JK,Jammu and Kashmir,Jammu,25398,166,24855,377,
AP,Andhra Pradesh,East Godavari,124646,164,123846,636,
HP,Himachal Pradesh,Sirmaur,3698,163,3504,31,
PB,Punjab,Tarn Taran,2447,161,2168,118,
PB,Punjab,Moga,3088,158,2835,95,
MP,Madhya Pradesh,Gwalior,16721,152,16338,231,
CT,Chhattisgarh,Surajpur,6729,152,6527,50,
HP,Himachal Pradesh,Una,3186,150,2989,46,
TN,Tamil Nadu,Kancheepuram,29738,146,29143,449,
UP,Uttar Pradesh,Prayagraj,29428,146,28873,409,
RJ,Rajasthan,Rajsamand,4413,146,4223,44,
MP,Madhya Pradesh,Betul,3921,141,3701,79,
MP,Madhya Pradesh,Chhindwara,3214,140,3024,50,
PB,Punjab,Faridkot,4327,138,4106,83,
GJ,Gujarat,Kutch,4733,136,4564,33,
HP,Himachal Pradesh,Kangra,8744,132,8397,213,
UP,Uttar Pradesh,Meerut,22452,132,21878,442,
DL,Delhi,South East Delhi,130,130,0,0,
PB,Punjab,Ferozepur,4816,128,4534,154,
MP,Madhya Pradesh,Burhanpur,1101,127,947,27,
PY,Puducherry,Puducherry,31593,127,30917,549,
MP,Madhya Pradesh,Ratlam,4933,127,4722,84,
WB,West Bengal,South 24 Parganas,37367,126,36527,714,
DL,Delhi,West Delhi,122,122,0,0,
UT,Uttarakhand,Nainital,12913,121,12474,237,
WB,West Bengal,Paschim Bardhaman,16543,121,16253,169,
GJ,Gujarat,Bhavnagar,6344,116,6160,68,
HR,Haryana,Kaithal,4166,115,3995,56,
RJ,Rajasthan,Ajmer,17325,114,16989,222,
TN,Tamil Nadu,Erode,14977,114,14713,150,
KA,Karnataka,Belagavi,27062,113,26607,342,
KA,Karnataka,Bengaluru Rural,18944,112,18671,161,
UT,Uttarakhand,Dehradun,29951,111,28432,970,
CT,Chhattisgarh,Jashpur,4290,111,4144,35,
CT,Chhattisgarh,Koriya,5609,109,5462,38,
GJ,Gujarat,Bharuch,4325,108,4199,18,
GJ,Gujarat,Mehsana,7195,108,7049,38,
MP,Madhya Pradesh,Khargone,5664,107,5447,110,
HP,Himachal Pradesh,Solan,6918,107,6738,73,
UP,Uttar Pradesh,Ghaziabad,26882,105,26675,102,
KA,Karnataka,Ballari,39399,104,38698,597,
KA,Karnataka,Bidar,7733,104,7451,174,
TN,Tamil Nadu,Tiruchirappalli,15133,104,14846,183,
AP,Andhra Pradesh,Guntur,75911,102,75137,672,
AP,Andhra Pradesh,Visakhapatnam,60250,102,59580,568,
KA,Karnataka,Dharwad,22497,100,21776,621,
CT,Chhattisgarh,Korba,17250,99,17022,129,
PB,Punjab,Pathankot,6079,98,5816,165,
JK,Jammu and Kashmir,Baramulla,8393,95,8121,177,
GJ,Gujarat,Jamnagar,10814,95,10684,35,
RJ,Rajasthan,Banswara,2510,92,2383,35,
TN,Tamil Nadu,Salem,32901,92,32342,467,
TN,Tamil Nadu,Vellore,21137,92,20694,351,
SK,Sikkim,West Sikkim,107,92,15,0,
KA,Karnataka,Hassan,28845,90,28358,397,
KA,Karnataka,Udupi,23830,90,23550,190,
HR,Haryana,Panipat,11051,89,10804,158,
CT,Chhattisgarh,Dhamtari,8494,88,8272,134,
UP,Uttar Pradesh,Bareilly,14772,87,14519,166,
OR,Odisha,Sundargarh,15887,87,15623,177,
PB,Punjab,Fazilka,4042,86,3882,74,
UP,Uttar Pradesh,Gautam Buddha Nagar,25667,84,25492,91,
UP,Uttar Pradesh,Varanasi,23640,84,23100,456,
TN,Tamil Nadu,Thiruvarur,11467,79,11277,111,
WB,West Bengal,Bankura,12071,78,11901,92,
TN,Tamil Nadu,Kanyakumari,17206,78,16867,261,
GJ,Gujarat,Panchmahal,4467,77,4367,23,
WB,West Bengal,Hooghly,29757,76,29184,497,
PB,Punjab,Mansa,2589,76,2458,55,
GJ,Gujarat,Gandhinagar,8982,75,8800,107,
KA,Karnataka,Chitradurga,14992,74,14849,69,
CT,Chhattisgarh,Raigarh,24277,73,23881,323,
CT,Chhattisgarh,Bametara,5144,72,5010,62,
GJ,Gujarat,Anand,2827,70,2740,17,
JH,Jharkhand,East Singhbhum,18649,70,18223,356,
TN,Tamil Nadu,Madurai,21360,70,20829,461,
DL,Delhi,South Delhi,70,70,0,0,
AP,Andhra Pradesh,Prakasam,62252,69,61603,580,
MP,Madhya Pradesh,Sagar,5648,68,5427,153,
GJ,Gujarat,Mahisagar,2169,67,2092,10,
UP,Uttar Pradesh,Kanpur Nagar,33099,66,32194,839,
CT,Chhattisgarh,Balrampur,3815,65,3733,17,
TN,Tamil Nadu,Dindigul,11594,65,11329,200,
OR,Odisha,Cuttack,29240,64,29030,146,
HP,Himachal Pradesh,Shimla,10570,64,10235,267,
JK,Jammu and Kashmir,Budgam,7973,63,7790,120,
HR,Haryana,Jind,5014,63,4856,95,
OR,Odisha,Khordha,53330,63,52918,349,
TN,Tamil Nadu,Nagapattinam,8699,63,8501,135,
KA,Karnataka,Kolar,10200,62,9961,177,
PB,Punjab,Sri Muktsar Sahib,4007,62,3844,101,
GJ,Gujarat,Kheda,3474,61,3395,18,
CT,Chhattisgarh,Baloda Bazar,10222,60,10012,150,
CT,Chhattisgarh,Bastar,9197,60,9045,92,
OR,Odisha,Mayurbhanj,14285,60,14132,93,
DL,Delhi,North Delhi,60,60,0,0,
UP,Uttar Pradesh,Unnao,4568,60,4421,87,
KA,Karnataka,Vijayapura,14643,59,14378,206,
TN,Tamil Nadu,Cuddalore,25277,58,24931,288,
CT,Chhattisgarh,Mahasamund,9594,58,9387,149,
TN,Tamil Nadu,Nilgiris,8441,57,8335,49,
AP,Andhra Pradesh,Anantapur,67857,56,67200,601,
UP,Uttar Pradesh,Ballia,7918,56,7756,106,
HR,Haryana,Sonipat,14918,54,14778,86,
HP,Himachal Pradesh,Hamirpur,3112,53,3009,49,
CT,Chhattisgarh,Janjgir Champa,20733,53,20437,243,
MP,Madhya Pradesh,Khandwa,2455,53,2339,63,
KA,Karnataka,Kodagu,6215,53,6089,73,
MH,Maharashtra,Other State,146,53,0,91,
GJ,Gujarat,Sabarkantha,3210,53,3144,13,
AP,Andhra Pradesh,Srikakulam,46300,53,45900,347,
TN,Tamil Nadu,Tirunelveli,15813,52,15547,214,
GJ,Gujarat,Dahod,3418,51,3360,7,
PB,Punjab,Barnala,2393,50,2276,67,
AP,Andhra Pradesh,Kurnool,60961,50,60422,489,
MP,Madhya Pradesh,Rewa,4253,50,4168,35,
KA,Karnataka,Uttara Kannada,14786,50,14558,178,
AP,Andhra Pradesh,Y.S.R. Kadapa,55467,50,54954,463,
RJ,Rajasthan,Hanumangarh,3027,49,2966,12,
MP,Madhya Pradesh,Mandsaur,2969,49,2884,36,
DL,Delhi,Shahdara,48,48,0,0,
MP,Madhya Pradesh,Sidhi,2169,48,2108,13,
UT,Uttarakhand,Udham Singh Nagar,11605,48,11315,117,
RJ,Rajasthan,Pratapgarh,1307,47,1238,22,
WB,West Bengal,Darjeeling,18506,46,18256,204,
TN,Tamil Nadu,Namakkal,11877,46,11720,111,
OR,Odisha,Sambalpur,10170,46,10046,78,
MP,Madhya Pradesh,Vidisha,3702,46,3584,72,
GJ,Gujarat,Patan,4300,45,4202,53,
UP,Uttar Pradesh,Rae Bareli,5615,45,5459,111,
KA,Karnataka,Shivamogga,22546,45,22152,349,
OR,Odisha,Balasore,12480,43,12336,101,
WB,West Bengal,Nadia,22705,43,22342,320,
HP,Himachal Pradesh,Bilaspur,3020,42,2952,25,
OR,Odisha,Jajpur,12366,42,12298,26,
WB,West Bengal,Purba Medinipur,20745,42,20424,279,
MP,Madhya Pradesh,Rajgarh,2528,42,2416,70,
MP,Madhya Pradesh,Sehore,2885,42,2795,48,
DL,Delhi,South West Delhi,42,42,0,0,
MP,Madhya Pradesh,Barwani,3053,41,2981,31,
MP,Madhya Pradesh,Damoh,2931,41,2797,93,
CT,Chhattisgarh,Uttar Bastar Kanker,6750,41,6643,66,
RJ,Rajasthan,Barmer,5118,40,5025,53,
GJ,Gujarat,Devbhumi Dwarka,1170,40,1125,5,
WB,West Bengal,Uttar Dinajpur,6747,40,6629,78,
TN,Tamil Nadu,Virudhunagar,16724,40,16452,232,
RJ,Rajasthan,Alwar,21879,39,21762,78,
AP,Andhra Pradesh,S.P.S. Nellore,62536,39,61988,509,
MP,Madhya Pradesh,Sheopur,1572,39,1517,16,
OR,Odisha,Angul,11509,38,11434,37,
DL,Delhi,East Delhi,38,38,0,0,
HR,Haryana,Rohtak,12345,38,12154,153,
DL,Delhi,New Delhi,37,37,0,0,
WB,West Bengal,Birbhum,10086,36,9961,89,
GJ,Gujarat,Morbi,3404,36,3349,19,
MP,Madhya Pradesh,Shajapur,1848,36,1790,22,
UP,Uttar Pradesh,Mathura,6878,35,6729,114,
UP,Uttar Pradesh,Muzaffarnagar,8922,35,8776,111,
UT,Uttarakhand,Pauri Garhwal,5145,35,5026,60,
WB,West Bengal,Purulia,7309,35,7225,49,
UP,Uttar Pradesh,Aligarh,11483,34,11393,56,
GJ,Gujarat,Gir Somnath,2671,34,2613,24,
WB,West Bengal,Jalpaiguri,14750,34,14552,164,
CT,Chhattisgarh,Kabeerdham,6017,34,5910,73,
PY,Puducherry,Karaikal,4065,34,3963,68,
GJ,Gujarat,Navsari,1692,34,1650,8,
UP,Uttar Pradesh,Lakhimpur Kheri,7698,33,7566,99,
CT,Chhattisgarh,Balod,9896,32,9762,102,
GJ,Gujarat,Chhota Udaipur,985,32,950,3,
GJ,Gujarat,Junagadh,5565,32,5500,33,
TN,Tamil Nadu,Krishnagiri,8221,32,8071,118,
MP,Madhya Pradesh,Panna,1177,32,1141,4,
MP,Madhya Pradesh,Singrauli,2000,32,1942,26,
RJ,Rajasthan,Bikaner,19102,31,18904,167,
DL,Delhi,North West Delhi,32,31,0,1,
TN,Tamil Nadu,Sivaganga,6833,31,6676,126,
GJ,Gujarat,Amreli,4005,30,3942,33,
MP,Madhya Pradesh,Jhabua,2659,30,2602,27,
MP,Madhya Pradesh,Neemuch,3121,30,3054,37,
KA,Karnataka,Chikkaballapura,13831,29,13683,118,
UP,Uttar Pradesh,Gorakhpur,21508,29,21113,366,
JK,Jammu and Kashmir,Anantnag,5085,28,4966,91,
UP,Uttar Pradesh,Barabanki,7848,28,7718,102,
MP,Madhya Pradesh,Hoshangabad,3962,28,3873,61,
MP,Madhya Pradesh,Dewas,3005,27,2951,27,
LA,Ladakh,Leh,7705,27,7592,86,
HP,Himachal Pradesh,Mandi,10322,27,10170,125,
OR,Odisha,State Pool,8444,27,8417,0,
AP,Andhra Pradesh,West Godavari,94382,27,93813,542,
OR,Odisha,Bargarh,10714,26,10646,42,
KA,Karnataka,Chikkamagaluru,14060,26,13895,139,
HR,Haryana,Fatehabad,4776,26,4630,120,
UP,Uttar Pradesh,Moradabad,11921,26,11711,184,
WB,West Bengal,Paschim Medinipur,20277,26,19940,311,
RJ,Rajasthan,Jhalawar,3729,25,3680,24,
UP,Uttar Pradesh,Kanpur Dehat,2155,25,2094,36,
DL,Delhi,North East Delhi,25,25,0,0,
TN,Tamil Nadu,Pudukkottai,11706,25,11524,157,
HR,Haryana,Sirsa,8121,25,7980,116,
TN,Tamil Nadu,Tiruvannamalai,19549,25,19240,284,
TN,Tamil Nadu,Viluppuram,15306,25,15168,113,
GJ,Gujarat,Aravalli,1247,24,1197,26,
CT,Chhattisgarh,Dakshin Bastar Dantewada,6140,24,6099,17,
KA,Karnataka,Davanagere,22484,24,22196,264,
CT,Chhattisgarh,Gariaband,4747,24,4667,56,
UP,Uttar Pradesh,Jhansi,10485,24,10283,178,
PY,Puducherry,Mahe,2258,24,2224,10,
KA,Karnataka,Mandya,19831,24,19655,152,
RJ,Rajasthan,Baran,2679,23,2620,36,
JK,Jammu and Kashmir,Pulwama,5902,23,5787,92,
UP,Uttar Pradesh,Shamli,3694,23,3640,31,
RJ,Rajasthan,Sikar,9105,23,8981,101,
MP,Madhya Pradesh,Balaghat,3258,22,3222,14,
UP,Uttar Pradesh,Balrampur,2222,22,2164,36,
MP,Madhya Pradesh,Dhar,4210,22,4129,59,
WB,West Bengal,Purba Bardhaman,12718,22,12593,103,
UP,Uttar Pradesh,Saharanpur,10141,22,9984,135,
UP,Uttar Pradesh,Shahjahanpur,6980,22,6844,114,
UP,Uttar Pradesh,Sonbhadra,5038,22,4940,76,
TN,Tamil Nadu,Theni,17199,22,16970,207,
GJ,Gujarat,Valsad,1445,22,1414,9,
MP,Madhya Pradesh,Alirajpur,1333,21,1296,16,
KA,Karnataka,Bagalkote,13803,21,13646,136,
JH,Jharkhand,Dhanbad,7828,21,7691,116,
RJ,Rajasthan,Ganganagar,6809,21,6746,42,
OR,Odisha,Jharsuguda,7930,21,7883,26,
WB,West Bengal,Malda,12726,21,12591,114,
RJ,Rajasthan,Pali,11039,21,10909,109,
MP,Madhya Pradesh,Raisen,2529,21,2462,46,
JK,Jammu and Kashmir,Shopiyan,2622,21,2561,40,
TN,Tamil Nadu,Thoothukkudi,16392,21,16228,143,
UP,Uttar Pradesh,Ambedkar Nagar,1917,20,1853,44,
GJ,Gujarat,Banaskantha,4743,20,4684,39,
HR,Haryana,Hisar,17186,20,16836,330,
HP,Himachal Pradesh,Kullu,4477,20,4370,84,
UP,Uttar Pradesh,Kushinagar,5726,20,5644,62,
JH,Jharkhand,Lohardaga,1812,20,1782,10,
GJ,Gujarat,Narmada,2193,20,2172,1,
HR,Haryana,Bhiwani,6374,19,6210,145,
JH,Jharkhand,Bokaro,6762,19,6677,66,
ML,Meghalaya,East Khasi Hills,8701,19,8560,122,
CT,Chhattisgarh,Mungeli,4159,19,4110,30,
TN,Tamil Nadu,Ranipet,16274,19,16066,189,
AN,Andaman and Nicobar Islands,South Andaman,51,19,32,0,
KA,Karnataka,Gadag,11053,18,10894,141,
RJ,Rajasthan,Nagaur,10350,18,10237,95,
MP,Madhya Pradesh,Shivpuri,3674,18,3626,30,
DN,Dadra and Nagar Haveli and Daman and Diu,Daman,1436,17,1393,1,
JK,Jammu and Kashmir,Ganderbal,4687,17,4623,47,
JH,Jharkhand,Gumla,2369,17,2346,6,
RJ,Rajasthan,Jhunjhunu,4598,17,4526,55,
TN,Tamil Nadu,Karur,5533,17,5465,51,
TN,Tamil Nadu,Tirupathur,7662,17,7518,127,
AP,Andhra Pradesh,Vizianagaram,41182,17,40927,238,
UP,Uttar Pradesh,Agra,10557,16,10365,176,
UT,Uttarakhand,Almora,3269,16,3097,26,
UP,Uttar Pradesh,Ayodhya,8185,16,8045,124,
UP,Uttar Pradesh,Basti,5375,16,5260,99,
UT,Uttarakhand,Champawat,1822,16,1790,9,
RJ,Rajasthan,Chittorgarh,4060,16,4003,41,
OR,Odisha,Deogarh,1392,16,1371,5,
MP,Madhya Pradesh,Katni,2311,16,2274,21,
WB,West Bengal,Murshidabad,12334,16,12169,149,
JK,Jammu and Kashmir,Bandipora,4727,15,4650,62,
UP,Uttar Pradesh,Etah,2549,15,2505,29,
MP,Madhya Pradesh,Guna,1594,15,1553,26,
KA,Karnataka,Raichur,14328,15,14155,158,
MP,Madhya Pradesh,Mandla,1256,14,1232,10,
MP,Madhya Pradesh,Narsinghpur,3574,14,3530,30,
JH,Jharkhand,Ramgarh,4557,14,4515,28,
MP,Madhya Pradesh,Shahdol,3011,14,2967,30,
TN,Tamil Nadu,Tenkasi,8584,14,8410,160,
MP,Madhya Pradesh,Tikamgarh,1335,14,1294,27,
UP,Uttar Pradesh,Amroha,4364,13,4301,50,
DN,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,1672,13,1653,1,
UP,Uttar Pradesh,Ghazipur,5280,13,5175,92,
RJ,Rajasthan,Jalore,5628,13,5563,52,
UP,Uttar Pradesh,Jaunpur,6745,13,6632,100,
JK,Jammu and Kashmir,Kulgam,2751,13,2684,54,
JK,Jammu and Kashmir,Punch,2533,13,2496,24,
OR,Odisha,Puri,14502,13,14368,121,
UT,Uttarakhand,Tehri Garhwal,4240,13,4038,16,
KA,Karnataka,Yadgir,10713,13,10639,61,
HR,Haryana,Charkhi Dadri,1532,12,1494,26,
BR,Bihar,East Champaran,8476,12,8410,54,
UP,Uttar Pradesh,Fatehpur,3850,12,3768,70,
CT,Chhattisgarh,Gaurela Pendra Marwahi,1526,12,1504,10,
NL,Nagaland,Kohima,3904,12,3825,21,
JH,Jharkhand,Latehar,1977,12,1958,7,
MP,Madhya Pradesh,Morena,3252,12,3211,29,
MP,Madhya Pradesh,Seoni,1630,12,1608,10,
RJ,Rajasthan,Sirohi,3783,12,3742,29,
UP,Uttar Pradesh,Amethi,3768,11,3718,39,
BR,Bihar,Aurangabad,5578,11,5551,16,
TN,Tamil Nadu,Dharmapuri,6673,11,6607,55,
JK,Jammu and Kashmir,Kupwara,5710,11,5602,97,
BR,Bihar,Madhubani,7777,11,7731,35,
BR,Bihar,Muzaffarpur,11975,11,11912,52,
UP,Uttar Pradesh,Pratapgarh,5432,11,5347,74,
TN,Tamil Nadu,Ramanathapuram,6495,11,6347,137,
BR,Bihar,Saran,7455,11,7379,65,
TR,Tripura,West Tripura,11709,11,11493,194,
MP,Madhya Pradesh,Agar Malwa,694,10,674,10,
UP,Uttar Pradesh,Banda,3874,10,3821,43,
BR,Bihar,Bhagalpur,9590,10,9497,83,
WB,West Bengal,Cooch Behar,11856,10,11774,72,
OR,Odisha,Ganjam,21911,10,21645,256,
CT,Chhattisgarh,Kondagaon,5297,10,5253,34,
UP,Uttar Pradesh,Mainpuri,3860,10,3774,76,
UP,Uttar Pradesh,Pilibhit,4217,10,4122,85,
CH,Chandigarh,Unknown,73,10,61,2,
OR,Odisha,Bhadrak,7515,9,7477,29,
RJ,Rajasthan,Bundi,3084,9,3056,19,
KA,Karnataka,Chamarajanagara,7007,9,6867,120,
UP,Uttar Pradesh,Chandauli,4893,9,4817,67,
BR,Bihar,Darbhanga,4283,9,4235,39,
MP,Madhya Pradesh,Datia,1926,9,1897,20,
UP,Uttar Pradesh,Hapur,4447,9,4370,68,
WB,West Bengal,Jhargram,3067,9,3036,22,
RJ,Rajasthan,Karauli,1574,9,1545,20,
UP,Uttar Pradesh,Mirzapur,3464,9,3409,46,
GA,Goa,Other State,200,9,190,1,
CT,Chhattisgarh,Other State,482,9,406,67,
TN,Tamil Nadu,Perambalur,2294,9,2264,21,
KA,Karnataka,Ramanagara,7441,9,7355,77,
JK,Jammu and Kashmir,Reasi,1657,9,1632,16,
MP,Madhya Pradesh,Satna,3551,9,3500,42,
UT,Uttarakhand,Uttarkashi,3792,9,3646,17,
MZ,Mizoram,Aizawl,2906,8,2889,9,
MP,Madhya Pradesh,Ashoknagar,1148,8,1123,17,
UP,Uttar Pradesh,Azamgarh,6054,8,5951,95,
OR,Odisha,Balangir,8862,8,8812,42,
BR,Bihar,Begusarai,8166,8,8121,37,
CT,Chhattisgarh,Bijapur,4127,8,4091,28,
GJ,Gujarat,Dang,191,8,182,1,
JH,Jharkhand,Deoghar,3704,8,3673,23,
UP,Uttar Pradesh,Deoria,6772,8,6669,95,
OR,Odisha,Gajapati,4086,8,4045,33,
UP,Uttar Pradesh,Hardoi,5948,8,5827,113,
OR,Odisha,Jagatsinghpur,9167,8,9121,38,
RJ,Rajasthan,Jaisalmer,2260,8,2227,25,
BR,Bihar,Katihar,7249,8,7229,12,
KA,Karnataka,Koppal,13953,8,13666,279,
UP,Uttar Pradesh,Lalitpur,3489,8,3434,47,
BR,Bihar,Madhepura,4892,8,4867,17,
UP,Uttar Pradesh,Rampur,5539,8,5473,58,
UT,Uttarakhand,Rudraprayag,2277,8,2252,10,
UP,Uttar Pradesh,Sant Kabir Nagar,3453,8,3401,44,
GJ,Gujarat,Surendranagar,3555,8,3534,13,
GJ,Gujarat,Tapi,1098,8,1083,7,
MP,Madhya Pradesh,Umaria,1329,8,1303,18,
TN,Tamil Nadu,Airport Quarantine,2005,7,1996,2,
TN,Tamil Nadu,Ariyalur,4755,7,4699,49,
UT,Uttarakhand,Bageshwar,1542,7,1492,17,
RJ,Rajasthan,Churu,4384,7,4336,41,
MP,Madhya Pradesh,Dindori,1070,7,1062,1,
UP,Uttar Pradesh,Firozabad,3949,7,3874,68,
MP,Madhya Pradesh,Harda,2181,7,2137,37,
UP,Uttar Pradesh,Maharajganj,5818,7,5720,91,
MP,Madhya Pradesh,Niwari,692,7,682,3,
UT,Uttarakhand,Pithoragarh,3370,7,3303,48,
ML,Meghalaya,Ribhoi,1389,7,1380,2,
BR,Bihar,Rohtas,6866,7,6814,45,
JK,Jammu and Kashmir,Samba,2843,7,2795,41,
